[༄༅། །​སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_],སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄། །​_25_,༄༅༅། །​_25_,༄༅། །​སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_
[ལྟར་_100_],ལྟར་_100_,ལྟར་_100_,ལྟར་_100_
[སྤྲོ་_100_],སྤྲོ་_100_,སྤྲོ་_100_,སྤྲོ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[བསྡུ་_100_],བསྡུ་_100_,བསྡུ་_100_,བསྡུ་_100_
[བར་_75_],པར་_25_,བར་_75_,བར་_75_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[སྐྱོན་_50_],སྐྱོན་_50_,སྐྱོ་ན་_50_,སྐྱོ་ན་_50_
[བཟླས་_100_],བཟླས་_100_,བཟླས་_100_,བཟླས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_
[སྟེ་_100_],སྟེ་_100_,སྟེ་_100_,སྟེ་_100_
[ཐུགས་_100_],ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_
[ཀའི་_100_],ཀའི་_100_,ཀའི་_100_,ཀའི་_100_
[ཟླ་_100_],ཟླ་_100_,ཟླ་_100_,ཟླ་_100_
[བའི་_50_],བའི་༄། །​_25_,བའི་ _25_,བའི་_50_
[དཀྱིལ་_100_],དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[སྟེང་_100_],སྟེང་_100_,སྟེང་_100_,སྟེང་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_
[ཏཱཾ་_100_],ཏཱཾ་_100_,ཏཱཾ་_100_,ཏཱཾ་_100_
[ལྗང་_100_],ལྗང་_100_,ལྗང་_100_,ལྗང་_100_
[གུ་_100_],གུ་_100_,གུ་_100_,གུ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ཡི་_100_],ཡི་_100_,ཡི་_100_,ཡི་_100_
[གེ་_100_],གེ་_100_,གེ་_100_,གེ་_100_
[བཅུས་_100_],བཅུས་_100_,བཅུས་_100_,བཅུས་_100_
[གཡས་_100_],གཡས་_100_,གཡས་_100_,གཡས་_100_
[སྐོར་_100_],སྐོར་_100_,སྐོར་_100_,སྐོར་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_
[བསྐོར་_100_],བསྐོར་_100_,བསྐོར་_100_,བསྐོར་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[མར་_100_],མར་_100_,མར་_100_,མར་_100_
[མེའི་_100_],མེའི་_100_,མེའི་_100_,མེའི་_100_
[ཕྲེང་_100_],ཕྲེང་_100_,ཕྲེང་_100_,ཕྲེང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ལྟ་_100_],ལྟ་_100_,ལྟ་_100_,ལྟ་_100_
[བུར་_100_],བུར་_100_,བུར་_100_,བུར་_100_
[བཟླས་_100_],བཟླས་_100_,བཟླས་_100_,བཟླས་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུཏྟཱ་_75_],ཏུཏྟཱ་ཏུ་_25_,ཏུཏྟཱ་_75_,ཏུཏྟཱ་_75_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[སྭཱ་_100_],སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_
[ཧཱ་_100_],ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དེར་_100_],དེར་_100_,དེར་_100_,དེར་_100_
[ཡང་_100_],ཡང་_100_,ཡང་_100_,ཡང་_100_
[མགྱོགས་_100_],མགྱོགས་_100_,མགྱོགས་_100_,མགྱོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ཡིན_100_],ཡིན_100_,ཡིན_100_,ཡིན_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[བུལ་_100_],བུལ་_100_,བུལ་_100_,བུལ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ཡིན་_100_],ཡིན་_100_,ཡིན་_100_,ཡིན་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[སྔགས་_100_],སྔགས་_100_,སྔགས་_100_,སྔགས་_100_
[བཟླས་_100_],བཟླས་_100_,བཟླས་_100_,བཟླས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_
[ལུགས་_100_],ལུགས་_100_,ལུགས་_100_,ལུགས་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[སྟེ་_100_],སྟེ་_100_,སྟེ་_100_,སྟེ་_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_
[གིས་_100_],གིས་_100_,གིས་_100_,གིས་_100_
[ཐོས་_100_],ཐོས་_100_,ཐོས་_100_,ཐོས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[གཞན་_100_],གཞན་_100_,གཞན་_100_,གཞན་_100_
[གྱིས་_100_],གྱིས་_100_,གྱིས་_100_,གྱིས་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_
[ཐོས་_100_],ཐོས་_100_,ཐོས་_100_,ཐོས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_
[གཞན་_100_],གཞན་_100_,གཞན་_100_,གཞན་_100_
[གཉིས་_100_],གཉིས་_100_,གཉིས་_100_,གཉིས་_100_
[ཀས་_100_],ཀས་_100_,ཀས་_100_,ཀས་_100_
[ཐོས་_100_],ཐོས་_100_,ཐོས་_100_,ཐོས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_
[ངག་_100_],ངག་_100_,ངག་_100_,ངག་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ཡིན་_100_],ཡིན་_100_,ཡིན་_100_,ཡིན་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_
[ཀྱིས་_100_],ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_
[བཟླས་_100_],བཟླས་_100_,བཟླས་_100_,བཟླས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[མོ_100_],མོ_100_,མོ_100_,མོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_
[དགོས་_100_],དགོས་_100_,དགོས་_100_,དགོས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[ཞི་_100_],ཞི་_100_,ཞི་_100_,ཞི་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_
[དགུག་_100_],དགུག་_100_,དགུག་_100_,དགུག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[འགྲུབ་_100_],འགྲུབ་_100_,འགྲུབ་_100_,འགྲུབ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[འགྱུར་_100_],འགྱུར་_100_,འགྱུར་_100_,འགྱུར་_100_
[རོ_100_],རོ_100_,རོ_100_,རོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[གཉིས་_100_],གཉིས་_100_,གཉིས་_100_,གཉིས་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[མངོན་_100_],མངོན་_100_,མངོན་_100_,མངོན་_100_
[སྤྱོད་_100_],སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_
[འགྲུབ་_100_],འགྲུབ་_100_,འགྲུབ་_100_,འགྲུབ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[འགྱུར་_100_],འགྱུར་_100_,འགྱུར་_100_,འགྱུར་_100_
[རོ_100_],རོ_100_,རོ_100_,རོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_
[དངོས་_100_],དངོས་_100_,དངོས་_100_,དངོས་_100_
[གྲུབ་_100_],གྲུབ་_100_,གྲུབ་_100_,གྲུབ་_100_
[ཐོབ་_100_],ཐོབ་_100_,ཐོབ་_100_,ཐོབ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[འགྱུར་_100_],འགྱུར་_100_,འགྱུར་_100_,འགྱུར་_100_
[རོ_100_],རོ_100_,རོ_100_,རོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[བསྙེན་_100_],བསྙེན་_100_,བསྙེན་_100_,བསྙེན་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_
[གྲངས་_100_],གྲངས་_100_,གྲངས་_100_,གྲངས་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[བྱེ་_100_],བྱེ་_100_,བྱེ་_100_,བྱེ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ཕྲག་_100_],ཕྲག་_100_,ཕྲག་_100_,ཕྲག་_100_
[གཅིག་_100_],གཅིག་_100_,གཅིག་_100_,གཅིག་_100_
[གོ། །​_75_],གོ །​_25_,གོ། །​_75_,གོ། །​_75_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[སྦྱོར་_100_],སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_
[དུས་_100_],དུས་_100_,དུས་_100_,དུས་_100_
[སུ་_100_],སུ་_100_,སུ་_100_,སུ་_100_
[གཙོ་_100_],གཙོ་_100_,གཙོ་_100_,གཙོ་_100_
[མོའི་_100_],མོའི་_100_,མོའི་_100_,མོའི་_100_
[སྐུ་_100_],སྐུ་_100_,སྐུ་_100_,སྐུ་_100_
[མདོག་_100_],མདོག་_100_,མདོག་_100_,མདོག་_100_
[སྒྱུར་_100_],སྒྱུར་_100_,སྒྱུར་_100_,སྒྱུར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_
[སྒྱུར་_100_],སྒྱུར་_100_,སྒྱུར་_100_,སྒྱུར་_100_
[རོ_100_],རོ_100_,རོ_100_,རོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_
[ཡང་_100_],ཡང་_100_,ཡང་_100_,ཡང་_100_
[ཞི་_100_],ཞི་_100_,ཞི་_100_,ཞི་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུཏྟཱ་_100_],ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[སྭཱ་_100_],སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_
[ཧཱ_100_],ཧཱ_100_,ཧཱ_100_,ཧཱ_100_
[། _100_],། _100_,། _100_,། _100_
[མམ་_50_],མམ་_50_,མ་མ་_50_,མ་མ་_50_
[ཤཱནྟིཾ་_100_],ཤཱནྟིཾ་_100_,ཤཱནྟིཾ་_100_,ཤཱནྟིཾ་_100_
[ཀུ་_100_],ཀུ་_100_,ཀུ་_100_,ཀུ་_100_
[རུ་_100_],རུ་_100_,རུ་_100_,རུ་_100_
[སྭཱ་_100_],སྭཱ་_100_,སྭཱ་_100_,སྭཱ་_100_
[ཧཱ་_100_],ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུཏྟཱ་_100_],ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[བཽ་_100_],བཽ་_100_,བཽ་_100_,བཽ་_100_
[ཥཊ་མ་མ་_50_],ཥཊ་མ་མ་_50_,ཥཊ་མམ་_50_,ཥཊ་མམ་_50_
[པུཥྚིཾ་_100_],པུཥྚིཾ་_100_,པུཥྚིཾ་_100_,པུཥྚིཾ་_100_
[ཀུ་_100_],ཀུ་_100_,ཀུ་_100_,ཀུ་_100_
[རུ་_100_],རུ་_100_,རུ་_100_,རུ་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དགྲ་_100_],དགྲ་_100_,དགྲ་_100_,དགྲ་_100_
[གྲོགས་_100_],གྲོགས་_100_,གྲོགས་_100_,གྲོགས་_100_
[པོར་_100_],པོར་_100_,པོར་_100_,པོར་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_
[། _100_],། _100_,། _100_,། _100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུཏྟཱ་_100_],ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ཥཊ་_100_],ཥཊ་_100_,ཥཊ་_100_,ཥཊ་_100_
[ཨ་_100_],ཨ་_100_,ཨ་_100_,ཨ་_100_
[མུ་_100_],མུ་_100_,མུ་_100_,མུ་_100_
[ཀཾ་_100_],ཀཾ་_100_,ཀཾ་_100_,ཀཾ་_100_
པ་_25_,[བ་_75_],བ་_75_,བ་_75_
[ཤིཾ་_100_],ཤིཾ་_100_,ཤིཾ་_100_,ཤིཾ་_100_
[ཀུ་_100_],ཀུ་_100_,ཀུ་_100_,ཀུ་_100_
[རུ་_100_],རུ་_100_,རུ་_100_,རུ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ཥཊ་_100_],ཥཊ་_100_,ཥཊ་_100_,ཥཊ་_100_
[ཅེས་_100_],ཅེས་_100_,ཅེས་_100_,ཅེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དགུག་_100_],དགུག་_100_,དགུག་_100_,དགུག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུཏྟཱ་_100_],ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རེ་ཛྙཱ་ན་_75_],རེ་ཛྙཱ་ན་_75_,རེ་ཛྙཱ་ན་_75_,རེ་ཛྙཱན་_25_
[ཨ་_100_],ཨ་_100_,ཨ་_100_,ཨ་_100_
[མུ་_100_],མུ་_100_,མུ་_100_,མུ་_100_
[ཀཾ་_100_],ཀཾ་_100_,ཀཾ་_100_,ཀཾ་_100_
[ཨཱ་_100_],ཨཱ་_100_,ཨཱ་_100_,ཨཱ་_100_
[ཀཪྵ་_100_],ཀཪྵ་_100_,ཀཪྵ་_100_,ཀཪྵ་_100_
[ཡ་_100_],ཡ་_100_,ཡ་_100_,ཡ་_100_
[ཛཿཞེས་_75_],ཛཿ་ཞེས་_25_,ཛཿཞེས་_75_,ཛཿཞེས་_75_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[བསྐྲད་_100_],བསྐྲད་_100_,བསྐྲད་_100_,བསྐྲད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[ནི་_75_],ནི་_75_,ནི་_75_,ནི། _25_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུཏྟཱ་_100_],ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཕུ་_100_],ཕུ་_100_,ཕུ་_100_,ཕུ་_100_
[ཨ་_100_],ཨ་_100_,ཨ་_100_,ཨ་_100_
[མུ་_100_],མུ་_100_,མུ་_100_,མུ་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཨུ་_100_],ཨུ་_100_,ཨུ་_100_,ཨུ་_100_
[ཙ་_100_],ཙ་_100_,ཙ་_100_,ཙ་_100_
[ཊ་_100_],ཊ་_100_,ཊ་_100_,ཊ་_100_
[ཡ་_100_],ཡ་_100_,ཡ་_100_,ཡ་_100_
[ཕུ་_100_],ཕུ་_100_,ཕུ་_100_,ཕུ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[བཅིང་_100_],བཅིང་_100_,བཅིང་_100_,བཅིང་_100_
[བ་_75_],པ་_25_,བ་_75_,བ་_75_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_
[དགྲ་_100_],དགྲ་_100_,དགྲ་_100_,དགྲ་_100_
[ལུས་_100_],ལུས་_100_,ལུས་_100_,ལུས་_100_
[བཅིང་_100_],བཅིང་_100_,བཅིང་_100_,བཅིང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_
[། _100_],། _100_,། _100_,། _100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུཏྟཱ་_100_],ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཨ་_100_],ཨ་_100_,ཨ་_100_,ཨ་_100_
[མུ་_100_],མུ་_100_,མུ་_100_,མུ་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_
[སྟཾ་_100_],སྟཾ་_100_,སྟཾ་_100_,སྟཾ་_100_
[བྷ་_100_],བྷ་_100_,བྷ་_100_,བྷ་_100_
[ཡ་_100_],ཡ་_100_,ཡ་_100_,ཡ་_100_
[ལཾ་_100_],ལཾ་_100_,ལཾ་_100_,ལཾ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[ངག་_75_],དག་_25_,ངག་_75_,ངག་_75_
[བཅིང་_100_],བཅིང་_100_,བཅིང་_100_,བཅིང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུཏྟཱ་_100_],ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_,ཏུཏྟཱ་_100_
[རེ་_100_],རེ་_100_,རེ་_100_,རེ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[རེ་སྭཱ་ཧཱ་_75_],རེ་སྭཱཧཱ་_25_,རེ་སྭཱ་ཧཱ་_75_,རེ་སྭཱ་ཧཱ་_75_
[ལཾ་_100_],ལཾ་_100_,ལཾ་_100_,ལཾ་_100_
[ཨ་_100_],ཨ་_100_,ཨ་_100_,ཨ་_100_
[མུ་_100_],མུ་_100_,མུ་_100_,མུ་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཝཱ་_100_],ཝཱ་_100_,ཝཱ་_100_,ཝཱ་_100_
[ཙ་_100_],ཙ་_100_,ཙ་_100_,ཙ་_100_
[སྟཾ་_100_],སྟཾ་_100_,སྟཾ་_100_,སྟཾ་_100_
[བྷ་_100_],བྷ་_100_,བྷ་_100_,བྷ་_100_
[ཡ་_100_],ཡ་_100_,ཡ་_100_,ཡ་_100_
[ལཾ་_100_],ལཾ་_100_,ལཾ་_100_,ལཾ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_
[བྱའོ_100_],བྱའོ_100_,བྱའོ_100_,བྱའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དགྲ་_100_],དགྲ་_100_,དགྲ་_100_,དགྲ་_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_
[སུ་_100_],སུ་_100_,སུ་_100_,སུ་_100_
[བཅིང་_100_],བཅིང་_100_,བཅིང་_100_,བཅིང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_
[། _100_],། _100_,། _100_,། _100_
